Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.532628521919250488e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.986999999999999744e+01,2.580000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.542595949172973633e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.013000000000000256e+01,2.580000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.552595937252044678e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.015999999999999659e+01,2.580000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.562777025699615479e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.021999999999999886e+01,2.598999999999999844e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.572780406475067139e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.050999999999999801e+01,2.612000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.582782778739929199e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.054999999999999716e+01,2.605000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.592789068222045898e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.064000000000000057e+01,2.625000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.602795383930206299e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.074000000000000199e+01,2.625000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.612801678180694580e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.092999999999999972e+01,2.641000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.622808172702789307e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.115999999999999659e+01,2.651000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.632729473114013672e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.118999999999999773e+01,2.651000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.642689898014068604e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.128999999999999915e+01,2.667000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.652695140838623047e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.150999999999999801e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.662621376514434814e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.171000000000000085e+01,2.651000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.672620401382446289e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.174000000000000199e+01,2.680000000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.682626838684082031e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.184000000000000341e+01,2.689000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.692639625072479248e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.206000000000000227e+01,2.685999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.702645840644836426e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.213000000000000256e+01,2.685999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.712550423145294189e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.215999999999999659e+01,2.696000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.722550151348114014e+02,1.000000000000000000e+02,5.000000000000000000e+01,5.213000000000000256e+01,2.721000000000000085e+01,2.300000000000000000e+01,2.300000000000000000e+01
